foglio,particella,national_ref,rights,genova_particella,displayed_in_current_focus_foglio_13
1,3,H833_000100.3,Comproprietà,3,False
1,4,H833_000100.4,Livellario,4,False
1,11,H833_000100.11,Proprietà 1/1,11,False
1,12,H833_000100.12,Proprietà 1/3 e Proprietà 2/3 (Totale 100%),12,False
1,13,H833_000100.13,Proprietà 1/1,13,False
1,18,H833_000100.18,Proprietà 1/1,18,False
1,24,H833_000100.24,Proprietà 1/1,24,False
1,25,H833_000100.25,Proprietà 1/1,25,False
1,28,H833_000100.28,Nuda Proprietà e Usufrutto 1/1,28,False
1,31,H833_000100.31,Comproprietà,31,False
1,37,H833_000100.37,Proprietà 1/1,37,False
1,44,H833_000100.44,Proprietà 1/1,44,False
1,45,H833_000100.45,Nuda Proprietà e Usufrutto 1/1,45,False
1,52,H833_000100.52,Proprietà 1/1,52,False
1,62,H833_000100.62,Nuda Proprietà e Usufrutto 1/1,62,False
1,74,H833_000100.74,Livellario e Usufrutto generale di livello,74,False
1,78,H833_000100.78,Proprietà 1/1 (Fabbricato),78,False
1,88,H833_000100.88,Proprietà 1/1,88,False
1,103,H833_000100.103,Proprietà 1/1,103,False
1,107,H833_000100.107,Proprietà 1/1,107,False
1,111,H833_000100.111,Proprietà 1/1,111,False
1,115,H833_000100.115,Proprietà 1/1,115,False
1,130,H833_000100.130,Proprietà 1/1,130,False
1,131,H833_000100.131,Proprietà 1/1,131,False
1,134,H833_000100.134,Proprietà 1/1,134,False
1,135,H833_000100.135,Proprietà 1/1,135,False
1,136,H833_000100.136,Proprietà 1/1,136,False
1,138,H833_000100.138,Proprietà 1/1,138,False
1,139,H833_000100.139,Proprietà 1/1,139,False
1,140,H833_000100.140,Proprietà 1/1,140,False
1,141,H833_000100.141,Nuda Proprietà e Usufrutto 1/1,141,False
1,145,H833_000100.145,Nuda Proprietà e Usufrutto 1/1,145,False
1,146,H833_000100.146,Proprietà 1/1,146,False
1,147,H833_000100.147,Proprietà 1/1,147,False
1,149,H833_000100.149,Nuda Proprietà e Usufrutto 1/1,149,False
1,150,H833_000100.150,Proprietà 1/1,150,False
