requested_particella,matched_count_for_this_number,foglio,particella,national_ref,sheet_ref,gml_id,warning
173,15,1,173,H833_000100.173,H833_000100,CadastralParcel.IT.AGE.PLA.H833_000100.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,22,173,H833_002200.173,H833_002200,CadastralParcel.IT.AGE.PLA.H833_002200.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,21,173,H833_002100.173,H833_002100,CadastralParcel.IT.AGE.PLA.H833_002100.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,18,173,H833_001800.173,H833_001800,CadastralParcel.IT.AGE.PLA.H833_001800.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,17,173,H833_001700.173,H833_001700,CadastralParcel.IT.AGE.PLA.H833_001700.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,16,173,H833_001600.173,H833_001600,CadastralParcel.IT.AGE.PLA.H833_001600.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,15,173,H833_001500.173,H833_001500,CadastralParcel.IT.AGE.PLA.H833_001500.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,14,173,H833_001400.173,H833_001400,CadastralParcel.IT.AGE.PLA.H833_001400.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,13A,173,H833_0013A0.173,H833_0013A0,CadastralParcel.IT.AGE.PLA.H833_0013A0.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,12,173,H833_001200.173,H833_001200,CadastralParcel.IT.AGE.PLA.H833_001200.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,10,173,H833_001000.173,H833_001000,CadastralParcel.IT.AGE.PLA.H833_001000.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,9,173,H833_000900.173,H833_000900,CadastralParcel.IT.AGE.PLA.H833_000900.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,7,173,H833_000700.173,H833_000700,CadastralParcel.IT.AGE.PLA.H833_000700.173,DUPLICATE_NEEDS_FOGLIO_CHECK
173,15,5,173,H833_000500.173,H833_000500,CadastralParcel.IT.AGE.PLA.H833_000500.173,DUPLICATE_NEEDS_FOGLIO_CHECK
